model,accuracy,avg_recall,training time,testing time
knn_1,0.285,0.28823855887856514,0.00016546249389648438,0.44333791732788086
knn_2,0.287,0.2863883239570716,0.000125885009765625,0.4355340003967285
knn_3,0.266,0.2618109355332502,0.00011682510375976562,0.5614452362060547
knn_4,0.25,0.24458240768589518,0.00011658668518066406,0.48045825958251953
knn_5,0.239,0.23366761769583172,0.00010752677917480469,0.4412829875946045
knn_6,0.22,0.21460955693241074,0.00011348724365234375,0.43454647064208984
knn_7,0.205,0.1988593076564561,0.00010800361633300781,0.43380308151245117
knn_8,0.201,0.19388484795847072,0.00010800361633300781,0.43590259552001953
knn_9,0.197,0.18965473818238757,0.00010609626770019531,0.4334373474121094
knn_10,0.192,0.1845365467337566,0.00010752677917480469,0.4355292320251465
knn_11,0.189,0.18154953374674362,0.00010800361633300781,0.43660402297973633
knn_12,0.181,0.17292206694172452,0.00011110305786132812,0.5489201545715332
knn_13,0.182,0.1738881184340918,0.00011181831359863281,0.4391791820526123
knn_14,0.178,0.16949646844383687,0.00010561943054199219,0.4367046356201172
knn_15,0.177,0.16845750740487583,0.00010704994201660156,0.4328911304473877
knn_16,0.17,0.16145181134654818,0.00011181831359863281,0.4350423812866211
knn_17,0.165,0.1563984962406015,0.00011205673217773438,0.4399428367614746
knn_18,0.168,0.1588913192071087,0.00010752677917480469,0.43680500984191895
knn_19,0.166,0.15659922533606746,0.00010824203491210938,0.4422950744628906
