model,accuracy,avg_recall,training time,testing time
knn_1,0.296,0.29876606703898767,0.0001480579376220703,0.4885287284851074
knn_2,0.279,0.28035414264215675,0.00011610984802246094,0.4432814121246338
knn_3,0.248,0.251223557164332,0.0001125335693359375,0.48769569396972656
knn_4,0.225,0.22951501899547327,0.00010776519775390625,0.5413141250610352
knn_5,0.21,0.21663679486331625,0.00010466575622558594,0.4435100555419922
knn_6,0.204,0.21136187111556642,0.00010704994201660156,0.4450974464416504
knn_7,0.195,0.2036891890259079,0.00011229515075683594,0.47891879081726074
knn_8,0.176,0.18630033389669584,0.00010609626770019531,0.4913902282714844
knn_9,0.165,0.17632224465380414,0.00011396408081054688,0.451221227645874
knn_10,0.157,0.16936294808424437,0.00011539459228515625,0.498992919921875
knn_11,0.147,0.15998731502575134,0.00011348724365234375,0.49698948860168457
knn_12,0.149,0.16225471429315058,0.00011277198791503906,0.4479043483734131
knn_13,0.144,0.15747962673816077,0.00011467933654785156,0.449446439743042
knn_14,0.135,0.14866747915078388,0.00010752677917480469,0.45040225982666016
knn_15,0.134,0.1475818565698342,0.0001068115234375,0.4580190181732178
knn_16,0.129,0.14292570128127763,0.00011014938354492188,0.45649218559265137
knn_17,0.127,0.14138922246956948,0.00011205673217773438,0.45914149284362793
knn_18,0.127,0.1414818922870099,0.00012540817260742188,0.45467305183410645
knn_19,0.129,0.1434094244897715,0.00010776519775390625,0.5349831581115723
