model,accuracy,avg_recall,training time,testing time
knn_1,0.287,0.2880657886585508,0.00014925003051757812,0.4867372512817383
knn_2,0.27,0.2703144120062642,0.0001232624053955078,0.4946596622467041
knn_3,0.239,0.23967519963662479,0.00012445449829101562,0.4843730926513672
knn_4,0.224,0.2248447184337981,0.00012111663818359375,0.509390115737915
knn_5,0.221,0.22183528884299344,0.00011610984802246094,0.4858701229095459
knn_6,0.214,0.21449158103766663,0.00011229515075683594,0.49419236183166504
knn_7,0.212,0.212423171665533,0.00010704994201660156,0.4727659225463867
knn_8,0.204,0.20473515509805976,0.00012063980102539062,0.469759464263916
knn_9,0.198,0.19894023487867224,0.00010991096496582031,0.47286367416381836
knn_10,0.191,0.19217408001157946,0.00011372566223144531,0.4916040897369385
knn_11,0.193,0.19433377515514558,0.00011229515075683594,0.47764015197753906
knn_12,0.186,0.18748336292547635,0.00011181831359863281,0.47596120834350586
knn_13,0.184,0.18556944351155696,0.0001087188720703125,0.4929649829864502
knn_14,0.182,0.18355527347107115,0.00011086463928222656,0.48827052116394043
knn_15,0.182,0.18355527347107115,0.00010776519775390625,0.5075967311859131
knn_16,0.177,0.1786399561049707,0.00011610984802246094,0.4969050884246826
knn_17,0.177,0.17858193323039023,0.00011467933654785156,0.529442548751831
knn_18,0.175,0.17665885630731332,0.00012421607971191406,0.50980544090271
knn_19,0.17,0.1716689777648032,0.00010919570922851562,0.47386598587036133
