model,accuracy,avg_recall,training time,testing time
knn_1,0.259,0.25992400758186956,0.00015735626220703125,0.4386250972747803
knn_2,0.244,0.24627674926280857,0.00011372566223144531,0.47566986083984375
knn_3,0.242,0.2444559051923431,0.0001342296600341797,0.4941751956939697
knn_4,0.241,0.2437226744992608,0.00010704994201660156,0.4377729892730713
knn_5,0.234,0.23686149388636712,0.00010776519775390625,0.5415325164794922
knn_6,0.226,0.2282672554032097,0.00013017654418945312,0.4369189739227295
knn_7,0.222,0.22408571916310094,0.00010752677917480469,0.4460484981536865
knn_8,0.216,0.21814457034390272,0.00010752677917480469,0.4393339157104492
knn_9,0.216,0.21870676177565937,0.00010752677917480469,0.44599413871765137
knn_10,0.211,0.21382458793261122,0.00011897087097167969,0.43984436988830566
knn_11,0.208,0.2111928876815699,0.00010895729064941406,0.443558931350708
knn_12,0.203,0.20611226178572659,0.00010967254638671875,0.4460270404815674
knn_13,0.205,0.20865068350893096,0.00010824203491210938,0.441195011138916
knn_14,0.202,0.20570196556021297,0.00010824203491210938,0.44318318367004395
knn_15,0.204,0.2081974750559466,0.00010704994201660156,0.4414381980895996
knn_16,0.209,0.21372761520565192,0.00010919570922851562,0.48726344108581543
knn_17,0.209,0.21381819491579684,0.00010967254638671875,0.4690682888031006
knn_18,0.206,0.210909977703456,0.00011420249938964844,0.449552059173584
knn_19,0.208,0.21324235547061635,0.00012373924255371094,0.4429202079772949
