model,accuracy,avg_recall,training time,testing time
knn_1,0.297,0.2950398306559151,0.0001537799835205078,0.46027207374572754
knn_2,0.286,0.2801272013258264,0.00011014938354492188,0.4552724361419678
knn_3,0.278,0.27133619270683246,0.00010728836059570312,0.505652904510498
knn_4,0.26,0.25210918859123427,0.0001125335693359375,0.4997527599334717
knn_5,0.249,0.2406800747820177,0.00011086463928222656,0.5093193054199219
knn_6,0.246,0.23732980728785327,0.0001049041748046875,0.4561302661895752
knn_7,0.25,0.24124514707592476,0.00012683868408203125,0.4639151096343994
knn_8,0.24,0.23125633585123487,0.00010585784912109375,0.4608445167541504
knn_9,0.235,0.22639371723452326,0.0001049041748046875,0.5163507461547852
knn_10,0.232,0.2234919202134776,0.00010776519775390625,0.4596703052520752
knn_11,0.232,0.2232078450914586,0.00012969970703125,0.46037936210632324
knn_12,0.229,0.21989442192798575,0.00011086463928222656,0.46613168716430664
knn_13,0.225,0.21623167214630393,0.00010228157043457031,0.50750732421875
knn_14,0.225,0.21647071938566773,0.00010561943054199219,0.4699711799621582
knn_15,0.216,0.20784084149104604,0.00010704994201660156,0.46672773361206055
knn_16,0.214,0.20613117936671985,0.00010728836059570312,0.46594738960266113
knn_17,0.21,0.20220621455270443,0.00010752677917480469,0.4668738842010498
knn_18,0.208,0.20030441753165878,0.00010776519775390625,0.4702425003051758
knn_19,0.203,0.1954865955747862,0.000110626220703125,0.5082361698150635
